subject_id,n_directions,seed,method,FA_MAE,MD_MAE,AD_MAE,RD_MAE,V1_error,Signal_NRMSE,FA_RMSE,MD_RMSE,AD_RMSE,RD_RMSE
109830,15,1,Sparse_WLS,0.06500465721970516,3.106319149502272e-05,8.156612106376441e-05,4.063437408778114e-05,22.096807739073885,5.2946400739275744e+17,0.10760201562461871,0.00012855570715792315,0.00017517459641719463,0.00013155569252202036
109830,15,1,DTI_INR,0.0730315178809069,6.473609242864629e-05,0.00010481164090673897,7.037988127066184e-05,32.115627225677606,0.09796699896631286,0.1146456827406494,0.00010918457505070365,0.0001524811774859368,0.00011306525065096978
109830,15,2,Sparse_WLS,0.06444043891327875,2.9081716358265887e-05,7.996276105972665e-05,3.914363148497839e-05,22.37336197155415,3.748940588023831e+19,0.10629253584178838,0.00014056646726296978,0.00018341841226157375,0.00014295456374996263
109830,15,2,DTI_INR,0.07571707450999669,6.910602855068876e-05,0.00010959057050218058,7.382608574282286e-05,32.17721304305011,0.09796211523409566,0.11976231232877031,0.00012008464731576255,0.00016065905427359683,0.0001234591554188858
109830,15,3,Sparse_WLS,0.06479055848074086,3.172270911487516e-05,7.997593259335236e-05,4.148644394161029e-05,22.845443101988604,3.3145932759074804e+16,0.10698088663293265,0.00011130088129991101,0.00016129797874843915,0.00011498844248413645
109830,15,3,DTI_INR,0.0758338162814913,6.787487607721007e-05,0.00010661690330883727,7.461109507785075e-05,32.61381553833312,0.09914644601009194,0.11616306650509489,0.00011329634383348502,0.00015627001784132742,0.00011775316836301806
109830,15,4,Sparse_WLS,0.06254300420749027,2.9026677954768198e-05,7.954988000795741e-05,3.7723826103923425e-05,22.224134675139464,5.378184720502416e+18,0.1040181582443666,0.00011796945679932372,0.00016500341165520135,0.00012048031798846791
109830,15,4,DTI_INR,0.07838178790862242,6.684448386690442e-05,0.00011016205864423329,7.329298602465425e-05,32.775832568785496,0.1000931252664701,0.123531106631308,0.0001140203642834372,0.00016105237216781896,0.00011838807927841435
109830,15,5,Sparse_WLS,0.06522132935806947,2.9574252223242805e-05,8.27368233407213e-05,3.8436100963746094e-05,22.831581741355613,2.8184756936780374e+19,0.10753439435786248,0.00013685929179423545,0.00018300031121081485,0.00013872718829694122
109830,15,5,DTI_INR,0.07622911193891184,6.582941238120977e-05,0.0001059440555239078,7.382288837748613e-05,32.95639199114346,0.10040427356813245,0.11686108542053761,0.0001131188064174615,0.0001571364086887085,0.00011861885843560185
109830,30,1,Sparse_WLS,0.040856979028579626,2.1210314891676975e-05,5.2378859060010816e-05,2.5952731447242406e-05,16.515026949084742,192198802332.2191,0.07966201298404019,9.241994607238464e-05,0.00012084595325788193,9.249657439622036e-05
109830,30,1,DTI_INR,0.07117583086863082,6.966322001367964e-05,0.00010396637296314119,7.479180886088124e-05,29.8676807607556,0.10649681223057547,0.11342488958038181,0.00011693600107721719,0.00015441419957038424,0.00012039378588036675
109830,30,2,Sparse_WLS,0.03989101574549895,2.007608026998004e-05,5.0070848420886944e-05,2.504762609853614e-05,16.581153942584006,3.639817847356888e+19,0.07861881394851784,0.00013565811446812626,0.0001550180626757959,0.00013554473760919708
109830,30,2,DTI_INR,0.06942555468498422,6.652793569586323e-05,9.893932375451893e-05,7.188335428130956e-05,29.617258187650116,0.10509897874112278,0.11068969026459398,0.00011430630408216648,0.0001486551073808728,0.0001176882294709602
109830,30,3,Sparse_WLS,0.04009378251518826,2.3504401317015346e-05,5.1449365264198047e-05,2.810556332282455e-05,16.36343259628653,2.563320843357344e+20,0.07867790228420346,9.888921835340229e-05,0.0001236296447849415,9.944361521803985e-05
109830,30,3,DTI_INR,0.07434060980218926,6.936451476997252e-05,0.00010559406933706988,7.471744237031098e-05,30.86580830544879,0.10643255198058539,0.11581635747904907,0.00011621877415267188,0.00015492136985701766,0.00011996958668336778
109830,30,4,Sparse_WLS,0.04033389034069102,1.9564230624189533e-05,5.161649156825735e-05,2.431273182600983e-05,16.415215341531233,1.7103553233709012e+16,0.07888295258276028,9.108498978878755e-05,0.00011889855907132004,9.127364654027214e-05
109830,30,4,DTI_INR,0.07114040524173733,6.839867863723585e-05,0.00010308776137173965,7.321362037964103e-05,30.521844197866965,0.10548501034723402,0.11509604147619164,0.00011581251831783891,0.00015288974708807204,0.00011869722572727877
109830,30,5,Sparse_WLS,0.04070344066346805,2.0389034932834434e-05,5.267220330375606e-05,2.4832734367554748e-05,16.791712470138826,1932078176.5905807,0.07922652873648312,8.584952787968395e-05,0.00011623246899874072,8.550436419110841e-05
109830,30,5,DTI_INR,0.07230193347197422,6.777301304629998e-05,0.00010133318981552524,7.392495490373817e-05,30.403726100635676,0.10601709605625236,0.11479802259208093,0.00011489185110313248,0.00015034005001266223,0.00011934495740853159
109830,45,1,Sparse_WLS,0.02834442380842807,1.60607606838759e-05,3.709855163364853e-05,1.8735888539939694e-05,12.433545750673378,8702311985.881754,0.0658227193264218,8.237039636620395e-05,9.943321044617486e-05,8.151424003966351e-05
109830,45,1,DTI_INR,0.06706941892810603,7.159333436075802e-05,0.00010070499303936685,7.697837053178275e-05,28.201267182622704,0.10862313225674046,0.10902998720185281,0.0001192520482698333,0.00015080756941103415,0.0001227215004231959
109830,45,2,Sparse_WLS,0.028409458610455667,1.6211263140686986e-05,3.7011836418195096e-05,1.8782614889220077e-05,12.643933521334134,29356916531.773438,0.06615797252530668,7.52222793850007e-05,9.337611459786731e-05,7.436985544230234e-05
109830,45,2,DTI_INR,0.06823534457294682,7.102005148043768e-05,0.00010131862942128841,7.483899521304078e-05,28.29153407850435,0.10713982205626897,0.11341965665054095,0.00011910033242621884,0.00015149155129161668,0.00012138555939339232
109830,45,3,Sparse_WLS,0.028688168349288425,1.6993981133426678e-05,3.6498789304903414e-05,2.0172623337218633e-05,12.416558043853987,42852325834460.125,0.06627572988451404,7.299304262649009e-05,9.084333747395172e-05,7.27551227001495e-05
109830,45,3,DTI_INR,0.07390079489566195,7.257389332628203e-05,0.00010637850559194466,7.758262546012285e-05,29.496413213844164,0.10867772275094864,0.11827686644676803,0.00012173725654341717,0.00015874003268599086,0.00012482347173179193
109830,45,4,Sparse_WLS,0.02885313068109512,1.583306811359943e-05,3.7224935751061904e-05,1.85401615931017e-05,12.50226576436748,416578061266.391,0.06626960614070153,7.171101773325709e-05,9.085425390849278e-05,7.097802995045215e-05
109830,45,4,DTI_INR,0.07228111779278933,7.27403874453552e-05,0.00010269900707254574,7.92508566330849e-05,29.261560046500577,0.1092195769935822,0.1166069063759132,0.00012316442614689846,0.00015419587629046083,0.00012818688350403195
109830,45,5,Sparse_WLS,0.028575041170200592,1.5427809552639158e-05,3.693052744008865e-05,1.8280296337088055e-05,12.700497855127187,861373.4836081442,0.06639104569053438,6.576211303195906e-05,8.625076852415735e-05,6.484524319111944e-05
109830,45,5,DTI_INR,0.06459222077234254,7.368677816161023e-05,9.69207945093566e-05,7.904385817864353e-05,27.152134900674454,0.10702827480988972,0.10824551118957622,0.0001246688779112937,0.00014898142158870575,0.00012871400070213013
